Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 2545","f","Flame retardant chemicals","H subst for","","2/15/2016","Van De Wege"
"HB 2546","","UW regents faculty rep.","H Hi Ed","","1/14/2016","Pollet"
"HB 2547","f#","Synthetic turf materials","H Environment","","1/14/2016","Pollet"
"HB 2548","","Labor & industries appeals","H Labor & Workpl","","1/14/2016","Condotta"
"HB 2549","f","Permitting of conveyances","H Labor & Workpl","","1/14/2016","Condotta"
"HB 2550","","Elderly prospective jurors","H Judiciary","","1/14/2016","Condotta"
"HB 2551","f#","Disaster area financing","H Finance","","1/18/2016","Condotta"
"HB 2552","f","Tourism marketing","H Comm Dev, Hous","","1/14/2016","Condotta"
"HB 2553","","Firearms/state of emergency","H Judiciary","","1/14/2016","Wilson"
"HB 2554","","Admin rules review committee","H State Governme","","1/14/2016","Wilson"
"HB 2555","f","Auto mall directional signs","H Trans","","1/14/2016","Wilson"
"HB 2556","fo","Academic achievement certif.","H Approps","","2/5/2016","Hunt, S."
"HB 2557","f","Unused shared leave return","C 177 L 16","","4/1/2016","Hunt, S."
"HB 2558","","Jail standards task force","H Rules R","","2/5/2016","Goodman"
"HB 2559","fo","Large campaign contributions","H State Governme","","1/15/2016","Hunt, S."
"HB 2560","fo","Surplus campaign funds","H State Governme","","1/15/2016","Hunt, S."
"HB 2561","fo","Political comm. disclosures","H State Governme","","1/15/2016","Hunt, S."
"HB 2562","fo","Campaign contribution defin.","H State Governme","","1/15/2016","Hunt, S."
"HB 2563","fo","Electronic campaign filing","H State Governme","","1/15/2016","Hunt, S."
"HB 2564","f#","Public cemeteries/prop. tax","H Finance","","1/15/2016","Manweller"
"HB 2565","f","Local sales & use tx changes","C 46 L 16","","3/29/2016","Vick"
"HB 2566","f","Dredged sediment disposal","H Environment","","1/15/2016","Fitzgibbon"
"HB 2567","f","Transport. drafting error","H Rules R","","2/5/2016","Clibborn"
"HB 2568","","Capitol lake/estuarine env.","H State Governme","","1/15/2016","Blake"
"HB 2569","f#","Police & fire in HOV lanes","H Trans","","1/15/2016","Sells"
"HB 2570","","Spec inquiry judge subpoenas","H Judiciary","","1/15/2016","Taylor"
"HB 2571","","Farm property/auctioneers","H Finance","","1/15/2016","Dent"
"HB 2572","","Agricultural aircraft parts","H Finance","","1/15/2016","Dent"
"HB 2573","fo","Teacher shortage","H subst for","","2/17/2016","Santos"
"HB 2574","f#","Distracted driving incidents","H Approps","","2/9/2016","Farrell"
"HB 2575","f","Oil transportation safety","H subst for","","2/12/2016","Farrell"
"HB 2576","f#","Local agency public records","H Rules X","","2/26/2016","McBride"
"HB 2577","","Spirits & wine pref. pricing","H Commerce & Gami","","1/15/2016","Wylie"
"HB 2578","f","Unemployment job search req.","H Rules 3C","","3/10/2016","Jinkins"
"HB 2579","f","Prefire mitigation","H Approps","","2/5/2016","Griffey"
"HB 2580","f","Blood establishments","H subst for","","2/17/2016","Cody"
"HB 2581","f","Cider alcohol content","H Commerce & Gam","","1/15/2016","Lytton"
"HB 2582","f","GET program","H Hi Ed","","1/15/2016","Bergquist"
"HB 2583","f#","Local creative districts","H subst for","","2/17/2016","McBride"
"HB 2584","f","Marijuana info. disclosure","H subst for","","2/15/2016","Vick"
"HB 2585","fo","Private activity bond alloc.","H subst for","","2/10/2016","Robinson"
"HB 2586","f#","School siting","H Local Govt","","1/15/2016","Reykdal"
"HB 2587","","Superior court judges' assoc","C 179 L 16","","4/1/2016","Rodne"
"HB 2588","f#","Vapor products","H Commerce & Gam","","1/15/2016","Reykdal"
"HB 2589","","Gender-segregated facilities","H Judiciary","","1/15/2016","Hunt, G."
"HB 2590","f#","County road admin. & maint.","H Rules R","","2/5/2016","Moscoso"
"HB 2591","f#","Dependency hearing notices","H subst for","","2/12/2016","Hargrove"
"HB 2592","fo","Emergency mgmt. benefits","H Approps","","1/15/2016","Holy"
"HB 2593","f","C&T college application fees","H Approps","","2/5/2016","Kilduff"
"HB 2594","f","Homeowners' assoc. taxes","H Finance","","1/15/2016","MacEwen"
"HB 2595","","Schools/safe technology use","H Education","","1/15/2016","Ortiz-Self"
"HB 2596","f","Local wildland fire supress.","H Approps","","2/5/2016","Dye"
"HB 2597","f","School sexual abuse plans","C 48 L 16","","3/29/2016","Orwall"
"HB 2598","f#","Vehicle cargo extensions","H subst for","","2/10/2016","Orcutt"
"HB 2599","f","Freight mobility bd. funding","C 23 L 16","","3/25/2016","Orcutt"
"HB 2600","f","Farm internship program","H Hi Ed","","1/18/2016","Orcutt"
"HB 2601","","Aggressive panhandling","H Public Safety","","1/15/2016","Orcutt"
"HB 2602","","Rx drugs/costs","H HC/Wellness","","1/15/2016","Walkinshaw"
"HB 2603","f#","Firearms & invol. treatment","H Judiciary","","1/15/2016","Kuderer"
"HB 2604","","Employee info. disclosure","H subst for","","2/15/2016","Kuderer"
"HB 2605","f","Beer tasting event permit","C 129 L 16","","3/31/2016","Kirby"
"HB 2606","","Phys. therapist dry needling","H HC/Wellness","","1/15/2016","Goodman"
"HB 2607","","Integrated student services","H Education","","1/15/2016","Magendanz"
"HB 2608","","Student and teacher data","H Education","","1/15/2016","Magendanz"
"HB 2609","","Educator cultural competence","H Education","","1/15/2016","Magendanz"
"EHB 2610","#","County commissioner election","H Rules 3C","","3/10/2016","Riccelli"
"HB 2611","f","Ag. vehicle weight limits","H Trans","","1/15/2016","Dye"
"HB 2612","f","Nonparent responsibilities","H Judiciary","","1/15/2016","Shea"
"HB 2613","f","Clean vehicle tax exemptions","H Trans","","1/15/2016","Condotta"
"HB 2614","","Flood risk & habitat proj.","H Cap Budget","","1/15/2016","DeBolt"
"HB 2615","f","CTC faculty & staff benefits","H subst for","","2/12/2016","Pollet"
"HB 2616","f#","Watershed management actions","H Rules X","","2/26/2016","Buys"
"HB 2617","","District-based elections","H State Governme","","1/18/2016","Manweller"
"HB 2618","","Port district workers","H Rules R","","2/5/2016","Tarleton"
"HB 2619","fo","Postsecondary education","H Rules 3C","","3/10/2016","Haler"
"HB 2620","fo","Energy site eval. council","H Rules R","","2/4/2016","Tarleton"
"HB 2621","fo","Child care worker records","H subst for","","2/10/2016","Kagi"
"HB 2622","f","Occupational licensure","H Bus & Fin Svcs","","1/18/2016","Manweller"
"HB 2623","fd","Advisory measure recounts","C 204 L 16","","4/1/2016","Van Werven"
"HB 2624","fd#","Election errors","C 130 L 16","","3/31/2016","Hunt, S."
"HB 2625","f","Fire contractor license fund","H Gen Govt & Inf","","1/26/2016","Appleton"
"HB 2626","f","Driver's instruction permits","H Trans","","1/18/2016","Pike"
"HB 2627","f#","Young driver safety training","H Judiciary","","1/18/2016","Pike"
"HB 2628","f#","Intermediate license holders","H Trans","","1/18/2016","Pike"
"HB 2629","f#","Marijuana possession & trans","H Commerce & Gam","","1/18/2016","Blake"
"HB 2630","","Wages overpayment/muni corp","H Rules X","","2/26/2016","Appleton"
"HB 2631","","Same sex marriage beliefs","H Judiciary","","1/18/2016","Klippert"
"HB 2632","","Political party gender reqs.","H subst for","","2/17/2016","Van Werven"
"HB 2633","fd","Fruit & vegetable inspection","H Rules X","","2/26/2016","Blake"
"HB 2634","fd","Dairy farm nutrient uses","C 101 L 16","","3/31/2016","Buys"
"HB 2635","fd","Seed act arbitration","H Ag & Nat Res","","1/18/2016","Buys"
"HB 2636","fd","Secondary fish receivers","H Rules R","","2/4/2016","Walkinshaw"
"HB 2637","af","Historic cemetery preserv.","C 102 L 16","","3/31/2016","Manweller"
"HB 2638","f","Aerospace tax incentives","H Finance","","1/18/2016","Robinson"
"HB 2639","f","School bus rider safety","H Rules 3C","","3/10/2016","McCabe"
"HB 2640","fd","Public funds and deposits","H Rules X","","2/26/2016","Kirby"
"HB 2641","","Wine & beer samples","H Commerce & Gami","","1/18/2016","Wylie"
"HB 2642","f","Small winery tax relief","H Commerce & Gam","","1/18/2016","Condotta"
"HB 2643","","School district procedures","H Education","","1/18/2016","Short"
"HB 2644","f#","Animal forfeiture","H subst for","","2/15/2016","Blake"
"HB 2645","fd","Eliminating accounts","H Rules R","","2/5/2016","Hudgins"
"HB 2646","f#","Retirement system defaults","H Rules X","","2/26/2016","Ormsby"
"HB 2647","#","Tax foreclosed prop./housing","H subst for","","2/15/2016","Jinkins"
"HB 2648","","Retirement info. disclosure","H Rules 3C","","3/10/2016","Fey"
"HB 2649","fd#","Rail fixed guideway system","H Trans","","1/18/2016","Clibborn"
"HB 2650","fd","Advertising activity moneys","H Trans","","1/18/2016","Clibborn"
"HB 2651","fd","Vehicle maximum gross weight","C 24 L 16","","3/25/2016","Rossetti"
"HB 2652","f","Health care declarations","H Rules X","","2/26/2016","Cody"
"HB 2653","","Personalized handgun taxes","H Finance","","1/18/2016","Cody"
"HB 2654","f#","Incentivized evidence","H Judiciary","","1/18/2016","Orwall"
"HB 2655","f","Crowdfunding donation taxes","H Rules R","","2/9/2016","Stokesbary"
"HB 2656","","Zero-based budget reviews","H Approps","","1/18/2016","Stokesbary"
"HB 2657","","Teacher years of service","H Approps","","1/18/2016","Stokesbary"
"HB 2658","f","Tribal cultural resources","H Ag & Nat Res","","2/5/2016","Ortiz-Self"
"EHB 2659","fd#","Traffic fines consolidation","H Rules 3C","","3/10/2016","Jinkins"
"HB 2660","","Transportation/waterways","H Trans","","1/18/2016","Bergquist"
"HB 2661","f","Dev. disabilities trust","H Approps","","2/5/2016","Kilduff"
"HB 2662","f","Next gen educational savings","H Approps","","2/5/2016","Kilduff"
"HB 2663","f","Sunshine committee recs.","C 182 L 16","","4/1/2016","Springer"
"HB 2664","f","School PE exemptions","H Education","","1/18/2016","Cody"
"HB 2665","","Tax preferences approval","H Finance","","1/18/2016","Santos"
"HB 2666","f","Tax expenditure transparency","H Approps","","1/18/2016","Santos"
"HB 2667","f","Parks & rec. commission","H subst for","","3/8/2016","Farrell"
"HB 2668","f#","Trafficking victims/vacating","H Rules R","","2/5/2016","Orwall"
"HB 2669","f","Public school PE requirement","H Approps","","2/5/2016","Riccelli"
"HB 2670","","School assessment system","H Education","","1/18/2016","Young"
"HB 2671","fo","Early learning agency def.","H Rules X","","2/26/2016","Kagi"
"HB 2672","f#","Utility relocation costs","H Tech &  Econ D","","1/20/2016","Zeiger"
"HB 2673","","Judgment lien recording cost","H Rules R","","2/5/2016","Sawyer"
"HB 2674","f#","Dispute resolution fees","H subst for","","2/17/2016","Jinkins"
"HB 2675","fo","Workforce invest. act refs.","H Rules 3C","","3/10/2016","Sells"
"HB 2676","","Building code exemptions","H Judiciary","","1/18/2016","Blake"
"HB 2677","#","Detention rooms and houses","H Erly Lrn/H Svc","","1/18/2016","Senn"
"HB 2678","f","Nursing home facilities","H subst for","","2/11/2016","Schmick"
"HB 2679","f","Life sciences research","H Rules 3C","","3/10/2016","Morris"
"HB 2680","f","Open education pilot grants","H Approps","","2/5/2016","Stambaugh"
"HB 2681","f","Pharmacists/contraceptives","H subst for","","2/11/2016","Stambaugh"
"HB 2682","$fd#","Automatic voter registration","H subst for","","2/15/2016","Hunt, S."
"HB 2683","","State route 26 improvements","H Trans","","1/18/2016","Hunt, S."
"HB 2684","","Greenhouse gas credits","H Environment","","1/18/2016","DeBolt"
"HB 2685","f#","Female genital mutilation","H Public Safety","","1/18/2016","Scott"
"HB 2686","f","Textbook affordability","H Approps","","2/5/2016","Sullivan"
"HB 2687","","Hearing disability coverage","H HC/Wellness","","1/18/2016","Van De Wege"
"HB 2688","f#","Historic building rehab. tax","H Comm Dev, Hous","","1/18/2016","Pettigrew"
"HB 2689","f","Historic building preserv.","H Comm Dev, Hous","","1/18/2016","Pettigrew"
"HB 2690","f","Academic support pilot","H Education","","1/18/2016","Sells"
"HB 2691","f","CWU fifth year promise","H Approps","","2/5/2016","Pollet"
"HB 2692","","Higher ed. perform. funding","H Hi Ed","","1/18/2016","Zeiger"
"HB 2693","f","Marijuana lounge endorsement","H Commerce & Gam","","1/18/2016","Blake"
"HB 2694","af","Tribe emergency placements","C 49 L 16","","3/29/2016","DeBolt"
"HB 2695","f","Historic public rec. access","H Rules R","","2/9/2016","Blake"
"HB 2696","f","Mairjuana plant sale/medical","H Commerce & Gam","","1/18/2016","Blake"
"HB 2697","f","Campaign finance reporting","H Rules R","","1/25/2016","Hunt, S."
"EHB 2698","f","Levy lid revision delay","H Rules 3C","","3/10/2016","Lytton"
"HB 2699","","Ticket sale interference","H Rules R","","2/1/2016","Young"
"HB 2700","f","Impaired driving","H subst for","","2/17/2016","Goodman"
"HB 2701","f#","Alcoholic beverages","H Gen Govt & Info","","2/5/2016","Wylie"
"HB 2702","","Flags/ferry system","H Trans","","1/19/2016","Klippert"
"HB 2703","","Responsible citizenship","H Education","","1/19/2016","Klippert"
"HB 2704","f#","Supervision of offenders","H Rules R","","2/5/2016","Klippert"
"HB 2705","f#","1st degree rape seriousness","H subst for","","2/17/2016","Klippert"
"HB 2706","f#","DUI 4th offense/felony","H Approps","","2/5/2016","Klippert"
"HB 2707","fd#","Voter preregistration","H State Governme","","1/19/2016","Bergquist"
"HB 2708","#","Fire district formation","H subst for","","2/17/2016","Appleton"
"HB 2709","f","Firefighter license plates","H Trans","","1/19/2016","Riccelli"
"HB 2710","f","Veteran's disability passes","H Gen Govt & Info","","2/1/2016","McCabe"
"HB 2711","f","Sexual assault nurses","H subst for","","2/17/2016","McCabe"
"HB 2712","","Use of force in self-defense","H Judiciary","","1/19/2016","Wilson"
"HB 2713","f#","Women helping women grants","H Approps","","1/19/2016","Wilson"
"HB 2714","","Unfunded state mandates","H Education","","1/19/2016","Rossetti"
"HB 2715","f","Coal electricity conversion","H Finance","","2/5/2016","Blake"
"HB 2716","","Working connect. child care","H subst for","","2/12/2016","Senn"
"HB 2717","","Tacoma Narrows bridge tolls","H Trans","","1/19/2016","Young"
"HB 2718","f","Consumer protection/military","H Rules R","","2/1/2016","Kilduff"
"HB 2719","","GMA economic dev. element","H Local Govt","","1/19/2016","Griffey"
"HB 2720","f","Water pollution act scope","H Environment","","1/19/2016","Scott"
"HB 2721","","Waters of U.S. definition","H Environment","","1/19/2016","Scott"
"HB 2722","f#","Small & limited public works","H Cap Budget","","1/19/2016","Kochmar"
"HB 2723","","IT sales to gaming companies","H Commerce & Gam","","1/19/2016","Hurst"
"HB 2724","","Transit auth. board members","H Trans","","1/19/2016","Harmsworth"
"HB 2725","f","Pharmacist authority","H subst for","","2/11/2016","Rossetti"
"HB 2726","f","Retirement communities","H subst for","","2/12/2016","Walkinshaw"
"HB 2727","","Teacher retention","H Education","","1/19/2016","Stokesbary"
"HB 2728","","Reading coaches grants","H Education","","1/19/2016","Stokesbary"
"HB 2729","","School grading and choice","H Education","","1/19/2016","Stokesbary"
"HB 2730","f","Rx drug monitoring program","H subst for","","2/12/2016","Peterson"
"HB 2731","f#","Ballot/2 or fewer candidates","H State Governme","","1/19/2016","Appleton"
"HB 2732","","Fire district annexations","H Rules R","","2/1/2016","Peterson"
"HB 2733","","Insurance for taxis, etc.","H Bus & Fin Svcs","","1/19/2016","Ryu"
"HB 2734","f","High school science testing","H Approps","","2/1/2016","McCaslin"
"HB 2735","","Agricultural land uses","H Local Govt","","1/19/2016","Buys"
"HB 2736","f","Governor appointments/gender","H Rules R","","2/5/2016","Frame"
"HB 2737","d","Criminal history/employment","H State Governmen","","1/29/2016","Frame"
"HB 2738","","Concealed firearm permission","H Judiciary","","1/19/2016","Hunt, S."
"HB 2739","f","Vehicle service fee distrib.","H Trans","","1/19/2016","Condotta"
"HB 2740","f","Discover pass exemption","H Gen Govt & Inf","","1/19/2016","Condotta"
"HB 2741","fd#","State & local fiscal agents","C 105 L 16","","3/31/2016","Kuderer"
"HB 2742","","School library materials","H Approps","","1/20/2016","Reykdal"
"HB 2743","f","High school diploma issuance","H subst for","","2/10/2016","Reykdal"
"HB 2744","f","Cultural foods","H Rules X","","2/26/2016","Santos"
"EHB 2745","","Ferry committee appointments","C 25 L 16","","3/25/2016","Fitzgibbon"
"HB 2746","","Juvenile offender treatment","H subst for","","2/17/2016","Walkinshaw"
"HB 2747","","Wetlands","H Environment","","1/20/2016","Scott"
"HB 2748","f#","Payment of attorneys' fees","H Judiciary","","1/20/2016","Griffey"
"EHB 2749","afd","Child welfare system perf.","C 184 L 16","","4/1/2016","Kagi"
"HB 2750","","Newborn screening practices","H HC/Wellness","","1/20/2016","Taylor"
"HB 2751","","Pesticide exposure","H HC/Wellness","","1/20/2016","Dent"
